,Name,Position,Forward,Back,Apps,Mins,Points,Tackles attempted,Tackles completed,Tackles missed,Tackles +,Tackles ineffective,Offload allowed,Total carries,Total metres,Total metres/carry,Support carries,Tackled dominant,Tackled neutral,Tackled ineffective,No. of breaks,Defenders beaten,Off loads,Attempted passes,Completed passes,Turnovers won,Turnovers conceded,Total kicks in play,Successful kicks in to touch,Penalty kicks,Total kicks,+ve kicks %,-ve kicks %,Lineouts won caught,Lineout steals,Lineouts won thrown,Lineouts lost thrown,Attempted collections,Successful collections,Failed collections,Penalty goals attempted,Penalty goal scored,Penalty goal missed,Conversions attempted,Conversion scored,Conversion missed,Drop goals attempted,Drop goal scored,Drop goal missed,Penalties conceded,Yellow cards,Red cards
0,AJ Alatimu,Fly Half,0,1,6,91,1.7582417582417582,12.307692307692308,7.912087912087912,4.395604395604396,7.912087912087912,0.0,0.0,6.153846153846154,36.92307692307693,5.274725274725275,0.8791208791208791,0.0,3.5164835164835164,0.0,3.5164835164835164,0.0,0.8791208791208791,28.13186813186813,24.615384615384617,0.0,1.7582417582417582,1.7582417582417582,1.7582417582417582,0.8791208791208791,2.6373626373626373,1.7582417582417582,0.8791208791208791,0.0,0.0,0.0,0.0,1.7582417582417582,1.7582417582417582,0.0,0.0,0.0,0.0,1.7582417582417582,0.8791208791208791,0.8791208791208791,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Coertzen,Full Back,0,1,13,916,1.7467248908296944,2.7074235807860263,1.7467248908296944,0.9606986899563319,1.3973799126637556,0.3493449781659389,0.3493449781659389,7.074235807860262,63.66812227074236,0.7860262008733625,0.26200873362445415,1.834061135371179,2.4454148471615724,0.26200873362445415,1.7467248908296944,1.9213973799126638,0.26200873362445415,3.14410480349345,2.096069868995633,0.5240174672489083,1.1353711790393013,0.8733624454148472,0.4366812227074236,0.0,0.8733624454148472,0.4366812227074236,0.4366812227074236,0.08733624454148473,0.0,0.08733624454148473,0.0,3.755458515283843,3.056768558951965,0.6986899563318778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493449781659389,0.0,0.0
2,AJ Le Roux,Hooker,1,0,17,711,1.1251758087201127,9.90154711673699,8.551336146272856,1.3502109704641352,6.188466947960619,2.3628691983122363,0.7876230661040788,5.738396624472574,13.614627285513363,0.26695347618653653,0.3375527426160338,2.0253164556962027,2.8129395218002817,0.11251758087201126,0.22503516174402252,0.3375527426160338,0.11251758087201126,1.8002812939521802,1.3502109704641352,0.11251758087201126,0.5625879043600563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90154711673699,2.0253164556962027,1.3502109704641352,1.1251758087201127,0.22503516174402252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7876230661040788,0.11251758087201126,0.0
3,Aaron Bancroft,Centre,0,1,12,818,1.9559902200488999,8.60635696821516,7.530562347188265,1.075794621026895,6.356968215158925,1.17359413202934,1.271393643031785,5.770171149144255,25.721271393643033,0.43595375243462764,0.48899755501222497,0.097799511002445,3.8141809290953548,0.0,0.58679706601467,0.880195599022005,0.293398533007335,6.943765281173595,5.8679706601467,0.684596577017115,0.58679706601467,0.293398533007335,0.19559902200489,0.0,0.293398533007335,0.293398533007335,0.0,0.0,0.0,0.0,0.0,1.76039119804401,1.56479217603912,0.19559902200489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78239608801956,0.097799511002445,0.0
4,Aaron Coundley,Prop,1,0,21,555,0.0,12.396396396396396,10.666666666666666,1.7297297297297298,8.216216216216216,2.4504504504504503,1.1531531531531531,7.495495495495495,8.216216216216216,0.158004158004158,0.14414414414414414,1.7297297297297298,4.324324324324325,0.14414414414414414,0.0,0.43243243243243246,0.14414414414414414,1.8738738738738738,1.7297297297297298,0.2882882882882883,0.43243243243243246,0.0,0.0,0.0,0.0,0.0,0.0,0.14414414414414414,0.0,0.0,0.0,0.5765765765765766,0.43243243243243246,0.14414414414414414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4504504504504503,0.0,0.0
5,Aaron Cruden,Fly Half,0,1,83,6204,9.696969696969697,8.420373952288847,6.885880077369439,1.5344938749194068,4.835589941972921,2.0502901353965184,0.8381689232753062,7.182462927143779,35.57704706640877,0.06387261591814859,0.6318504190844617,0.670535138620245,1.650548033526757,0.06447453255963895,2.269503546099291,1.5344938749194068,1.4829142488716958,17.072856221792392,13.617021276595745,0.3481624758220503,1.586073500967118,6.1250805931657,4.500322372662798,3.6234687298517088,9.748549323017409,5.36428110896196,4.422952933591231,0.245003223726628,0.0,0.03868471953578337,0.0,3.185041908446164,2.7852998065764023,0.39974210186976145,2.5531914893617023,1.9342359767891684,0.6189555125725339,2.0760799484203742,1.4313346228239845,0.6447453255963894,0.03868471953578337,0.0,0.03868471953578337,0.3868471953578337,0.0,0.0
6,Aaron Dundon,Hooker,1,0,46,1346,0.5943536404160475,9.50965824665676,8.202080237741457,1.3075780089153046,5.705794947994057,2.4962852897473997,0.6537890044576523,8.855869242199109,12.778603268945023,0.08576243804661089,0.35661218424962854,2.3179791976225856,5.705794947994057,0.0,0.11887072808320952,0.5349182763744428,0.11887072808320952,1.9019316493313523,1.4264487369985142,0.23774145616641904,0.5349182763744428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.303120356612185,1.7830609212481427,1.3075780089153046,1.1292719167904903,0.17830609212481427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5943536404160475,0.0,0.0
7,Aaron Jarvis,Prop,1,0,87,3718,0.10758472296933835,8.090371167294244,7.1436256051640665,0.9467455621301775,5.529854760623992,1.6137708445400754,0.516406670252824,4.2818719741796665,4.260355029585798,0.02140881924414974,0.3012372243141474,0.6239913932221625,2.797202797202797,0.064550833781603,0.0,0.4518558364712211,0.19365250134480902,1.699838622915546,1.312533620225928,0.08606777837547068,0.4518558364712211,0.04303388918773534,0.02151694459386767,0.0,0.04303388918773534,0.02151694459386767,0.02151694459386767,0.064550833781603,0.0,0.0,0.0,1.2049488972565896,1.0543302850995158,0.1506186121570737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097364174287251,0.02151694459386767,0.0
8,Aaron Morris,Full Back,0,1,5,259,2.1621621621621623,1.8532818532818534,1.2355212355212355,0.6177606177606177,0.6177606177606177,0.6177606177606177,0.0,9.884169884169884,72.27799227799228,2.258687258687259,0.6177606177606177,2.471042471042471,3.088803088803089,0.0,0.6177606177606177,2.1621621621621623,0.6177606177606177,4.015444015444015,2.471042471042471,0.0,2.471042471042471,3.088803088803089,1.8532818532818534,0.0,3.088803088803089,2.1621621621621623,0.9266409266409267,0.3088803088803089,0.0,0.0,0.0,6.795366795366796,6.177606177606178,0.6177606177606177,0.3088803088803089,0.0,0.3088803088803089,0.3088803088803089,0.3088803088803089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Aaron Shingler,Lock,1,0,103,6711,0.35762181493071077,10.895544628222321,9.894203546416332,1.0013410818059902,7.772314111160781,2.0980479809268364,0.7510058113544926,7.7484726568320665,16.35523766949784,0.025161904106919753,0.3218596334376397,1.478170168380271,3.9338399642378183,0.15496945313664132,0.452987632245567,0.6675607212039935,1.3232007152436298,3.623901057964536,1.9669199821189092,0.3457010877663537,0.905975264491134,0.1430487259722843,0.0,0.0,0.1430487259722843,0.0476829086574281,0.0953658173148562,4.661004321263597,0.44106690508120994,0.035762181493071074,0.0,1.931157800625838,1.5616152585307703,0.36954254209506776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8106094471762777,0.05960363582178513,0.0
